Date,"General government debt, % of GDP: net JPY","General government debt, % of GDP: net GBP","General government balance, % of GDP: overall JPY","General government balance, % of GDP: overall GBP","Main producer price index: %oya, 3mma GBP","Main producer price index: %oya, 3mma Japan",Merchandise trade balance ratio change (sa): 3M/3M Japan,Merchandise trade balance ratio change (sa): 3M/3M GBP,Generic government bond returns: 5-year maturity Japan,Generic government bond returns: 5-year maturity GBP
1994-08-24,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-08-25,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-08-26,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-08-29,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-08-30,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-08-31,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-01,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-02,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-06,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-07,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-08,20.8,31.1,-2.24,-6.85,0.49289,-1.8023,-0.05847,-0.46426,0.0013,0.011925
1994-09-09,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-12,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-13,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-14,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-15,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-16,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-19,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-20,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-21,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-22,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-23,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-26,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-27,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-28,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-29,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-09-30,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-03,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-04,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-05,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-06,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-07,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-10,20.8,31.1,-2.24,-6.85,0.49289,-1.67572,-0.05847,-0.46426,0.0013,0.011925
1994-10-11,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-12,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-13,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-14,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-17,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-18,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-19,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-20,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-21,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-24,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-25,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-26,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-27,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-28,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-10-31,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-01,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-02,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-03,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-04,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-07,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-08,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-09,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-10,20.8,31.1,-2.24,-6.85,0.49289,-1.51672,-0.05847,-0.46426,0.0013,0.011925
1994-11-11,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-14,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-15,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-16,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-17,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-18,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-21,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-22,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-23,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-25,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-28,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-29,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-11-30,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-01,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-02,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-05,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-06,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-07,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
1994-12-08,20.8,31.1,-2.24,-6.85,0.49289,-1.35936,-0.05847,-0.46426,0.0013,0.011925
